"","x"
"461","UBXN2A"
"462","MPHOSPH8"
"463","ZNF302"
"464","PCM1"
"465","RAB30"
"466","MS4A7"
"467","CYCS"
"468","C8orf34"
"469","DNAJC15"
"470","DAAM1"
"471","JMJD1C"
"472","YTHDC1"
"473","FOXN3"
"474","PRRC2C"
"475","OFD1"
"476","CPM"
"477","WASHC4"
"478","ANXA4"
"479","TMSB10"
"480","SRRM1"
"481","PHC3"
"482","UPF2"
"483","COPB2"
"484","NTM"
"485","WBP4"
"486","GNA13"
"487","LPAR6"
"488","ATF7IP"
"489","SEC23A"
"490","RAB13"
"491","ARID4A"
"492","PCDH17"
"493","ITSN1"
"494","PRPF40A"
"495","SKAP2"
"496","PHF3"
"497","CDKN1B"
"498","RNF19A"
"499","SMAD5"
"500","NCOA1"
