"","x"
"HBS1L",0.161616408471699
"AHI1",0.0626832004159719
"IL20RA",0.0105766813216631
"TNFAIP3",0.010605458562192
"ADAT2",0.00520597038687327
"FUCA2",0.0740730731448504
"PHACTR2",0.0482110799210419
"RSPH3",0.0332660304286264
"TAGAP",0.022759964007809
"EIF3B",0.0966962958700067
"CHST12",0.0310277875314174
"CARD11",0.00519371176628385
"SKAP2",0.0983308736876138
"JAZF1",0.0603035763345281
"ELMO1",0.212841560346385
"IKZF1",0.0302406685914863
"SYPL1",0.372387787573955
"IRF5",0.0219658279623636
"TNPO3",0.0373500694009242
"ZC3HAV1",0.0569415268023895
"ZNF777",0.0144323324391469
"ZNF746",0.0312713399373357
"PKIA",0.179565568204137
"ZC2HC1A",0.0616812950371806
"INTS8",0.0353726313552899
"TP53INP1",0.0423907667661201
"PLEC",0.257377604180682
"PARP10",0.0305129334661581
"GRINA",0.224108487934656
"MAF1",0.117128697328663
"NANS",0.0424516274072936
"TRIM14",0.0228232947715024
"IFITM2",0.194455538594488
"IFITM3",0.793035704422442
"RRAS2",0.0261287394436983
"PDE3B",0.0203523963080248
"CYP2R1",0.0109161245392136
"PRR5L",0.0644458833345834
"LRP4",0.102023850070188
"DDB2",0.0218530872275707
"ACP2",0.0303226367070559
"NR1H3",0.0164817958975499
"MADD",0.0620453474149043
"SPI1",0.0582140643932076
"SLC39A13",0.0402748078830148
"PSMC3",0.143921203803487
"MTCH2",0.103704847267239
"FNBP4",0.0584802418752762
"PTPRJ",0.0597980316778502
"FLRT1",0.0111680873268218
"VEGFB",0.191980341977083
"FKBP2",0.261460541273469
"PLCB3",0.0105440274652701
"GPR137",0.0425938438242514
"CCDC88B",0.0211479972493382
"RPS6KA4",0.0423559895324043
"EHBP1L1",0.0365151800563099
"MAP3K11",0.0936712923333378
"SIPA1",0.0466951767626995
"AP5B1",0.00511443062314623
"CFL1",1.21115421719575
"SNX32",0.00930019888413349
"MUS81",0.0382015599296348
"EFEMP2",0.0467868763398038
"FIBP",0.0708237508831829
"CCDC85B",0.190921616137781
"C11orf68",0.0664713494359517
"SART1",0.050255236863324
"BANF1",0.242355592883865
"SF3B2",0.175955670160877
"SESN3",0.21751610351291
"FAM76B",0.0368487395769574
"TMEM25",0.0416667973335576
"PHLDB1",0.346593776287072
"DDX6",0.244880297386501
"BCL9L",0.0138049763329281
"UBASH3B",0.0073942671621527
"ETS1",0.0242755807365461
"TAF3",0.041871498528495
"ZNF438",0.0213543144696752
"ZEB1-AS1",0.0144056796746076
"ZNF365",0.0838654444051547
"ADO",0.117242330299372
"ECD",0.0371968585764482
"FAM149B1",0.0485136672840818
"DNAJC9",0.0243965224638802
"CFAP70",0.0222528375784475
"ANXA7",0.236039984486386
"AGAP5",0.00752849277834767
"SEC24C",0.0571648142912589
"ZSWIM8",0.0467432779929206
"CAMK2G",0.127044195882385
"PLAU",0.014525898359707
"ZMIZ1",0.150143985764972
"IDE",0.028697259888973
"HHEX",0.0204059545050125
"TNFRSF1A",0.0858233692964378
"LTBR",0.0242756450368113
"KLRB1",0.00516306909555257
"CLEC2D",0.0161527653051092
"PIP4K2C",0.0430050240981554
"ARHGEF25",0.0119835453669048
"B4GALNT1",0.0194780435313627
"OS9",0.164736019142494
"AGAP2",0.0165954507071862
"TSPAN31",0.0887657159279105
"MARCH9",0.0233263104325483
"TSFM",0.0361709431769729
"PLXNC1",0.0265541116098937
"CEP83",0.0199299467779448
"SH2B3",0.0363600786230979
"ATXN2",0.126160642697163
"ALDH2",0.348809954049199
"TMEM116",0.0215918559031262
"TRAFD1",0.0571757250380516
"HECTD4",0.0801441719672187
"OGFOD2",0.0140770471749394
"PITPNM2",0.00982112399647067
"MPHOSPH9",0.0389782339981607
"C12orf65",0.0287557514827983
"CDK2AP1",0.12704953639466
"SBNO1",0.073436423829904
"RILPL2",0.0314871122936116
"SNRNP35",0.0428894872750565
"DLEU7",0.0169766010200064
"TM9SF2",0.199378979717395
"FRMD6",0.0291816819341432
"GNG2",0.0437761294675364
"ZFP36L1",0.676538025698469
"FLVCR2",0.00615098540043755
"GALC",0.123203043131848
"RCOR1",0.0319352696667399
"TRAF3",0.0306060594785716
"DPH6",0.0196008247748841
"MORF4L1",1.11146677061669
"CTSH",0.33633689878323
"ZNF774",0.00591450743539567
"IQGAP1",0.123564626233879
"CRTC3",0.0810053994166064
"SOX8",0.406889494707995
"DEXI",0.0792449511533261
"CLEC16A",0.0260734455608624
"TAOK2",0.0488476860898383
"INO80E",0.0587796955772663
"DOC2A",0.0124230024695055
"FAM57B",0.00575211872550634
"PPP4C",0.0958803576041395
"TBX6",0.00596431532951776
"YPEL3",0.244617960425258
"GDPD3",0.00538665361624926
"MAPK3",0.149213640443518
"CORO1A",0.0857047340636522
"TBC1D10B",0.0599624701397048
