"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SIPA1L2",0,0.259082787400485,0.188,0.053,0,"microglia-macrophages","SIPA1L2"
"AC008691.1",0,0.257912983685789,0.121,0.019,0,"microglia-macrophages","AC008691.1"
"PPARG",0,0.252918975322465,0.143,0.031,0,"microglia-macrophages","PPARG"
"PLCG2",0,0.252607671141059,0.175,0.036,0,"microglia-macrophages","PLCG2"
"VSIG4",0,0.250533394988032,0.134,0.001,0,"microglia-macrophages","VSIG4"
"LPP2",2.32726600633155e-306,0.460612938323411,0.434,0.216,6.34924711847375e-302,"microglia-macrophages","LPP"
"PICALM",2.87070864666693e-305,0.531412233500262,0.492,0.272,7.83186732983672e-301,"microglia-macrophages","PICALM"
"RPS19",3.87448911720137e-305,0.376292939586474,0.282,0.108,1.05703812095488e-300,"microglia-macrophages","RPS19"
"SRGAP1",9.72919565768856e-305,0.411765367720691,0.299,0.12,2.65431915933059e-300,"microglia-macrophages","SRGAP1"
"MARCH31",1.42045154762997e-302,0.256790075953976,0.18,0.05,3.87527591224407e-298,"microglia-macrophages","MARCH3"
"RB1",7.71850955585741e-297,0.379369772837639,0.291,0.116,2.10576377702902e-292,"microglia-macrophages","RB1"
"ARHGAP12",1.20174799200487e-289,0.289361995992395,0.222,0.074,3.27860887178768e-285,"microglia-macrophages","ARHGAP12"
"CELF2",4.47124926488369e-287,0.439678010427478,0.677,0.405,1.21984622444557e-282,"microglia-macrophages","CELF2"
"SDK1",5.71464971988038e-286,0.418941713111669,0.315,0.13,1.55907073657777e-281,"microglia-macrophages","SDK1"
"EPS8",4.40935179807796e-279,0.302638333864588,0.239,0.085,1.20295935755163e-274,"microglia-macrophages","EPS8"
"NCOA3",1.29270486748875e-276,0.265399933920884,0.2,0.064,3.52675741948281e-272,"microglia-macrophages","NCOA3"
"USP15",4.20739194653735e-276,0.358576200094305,0.299,0.125,1.14786067085432e-271,"microglia-macrophages","USP15"
"RAP1A",1.6814573540528e-275,0.37281147151343,0.314,0.135,4.58735195332685e-271,"microglia-macrophages","RAP1A"
"FNDC3B",3.98235633664137e-275,0.313086887958839,0.233,0.083,1.0864664557625e-270,"microglia-macrophages","FNDC3B"
"ELMO1",9.1001898930706e-269,0.459881500163549,0.661,0.406,2.48271380662752e-264,"microglia-macrophages","ELMO1"
"ATG7",6.32330240111516e-264,0.464329433903167,0.359,0.176,1.72512336107224e-259,"microglia-macrophages","ATG7"
"GNAQ1",1.34051016332854e-263,0.561395644002038,0.542,0.367,3.65717982759293e-259,"microglia-macrophages","GNAQ"
"STX7",1.2373236471439e-260,0.279098055345551,0.232,0.084,3.37566637413799e-256,"microglia-macrophages","STX7"
"ATM",4.26290565499071e-259,0.37793846773399,0.325,0.148,1.16300592079456e-254,"microglia-macrophages","ATM"
"AFF11",5.49256558436596e-252,0.324196195561622,0.277,0.114,1.49848174272672e-247,"microglia-macrophages","AFF1"
"WASF2",1.16121236437442e-249,0.254695628589781,0.205,0.07,3.16801957248629e-245,"microglia-macrophages","WASF2"
"FCHSD2",3.84279871483994e-246,0.466149618973877,0.461,0.262,1.04839234538263e-241,"microglia-macrophages","FCHSD2"
"SNX29",3.98985430217153e-246,0.348387569668306,0.314,0.142,1.08851205071844e-241,"microglia-macrophages","SNX29"
"PTPN2",1.37871995485293e-241,0.253169013611756,0.19,0.063,3.76142378082977e-237,"microglia-macrophages","PTPN2"
"PADI2",1.81597379739718e-241,0.285031872370574,0.164,0.05,4.95433971405899e-237,"microglia-macrophages","PADI2"
"B2M",3.26152108218798e-236,0.326418248180977,0.268,0.111,8.89808181642524e-232,"microglia-macrophages","B2M"
"RAD51B",1.12260197893985e-233,0.38608562697718,0.327,0.154,3.06268271894371e-229,"microglia-macrophages","RAD51B"
"TMEM163",1.43536165537362e-228,0.362437159476121,0.155,0.048,3.91595366819031e-224,"microglia-macrophages","TMEM163"
"CAB39",6.52566903270103e-228,0.273218325617647,0.227,0.087,1.7803330255015e-223,"microglia-macrophages","CAB39"
"CMIP",4.00392051551304e-226,0.321669270576157,0.289,0.13,1.09234959504227e-221,"microglia-macrophages","CMIP"
"GAB2",8.68763487303199e-225,0.416537268721523,0.399,0.215,2.37016054606059e-220,"microglia-macrophages","GAB2"
"IL6ST",8.80108278308342e-222,0.29164250209462,0.244,0.1,2.40111140488082e-217,"microglia-macrophages","IL6ST"
"SPRED1",5.2323657729332e-219,0.343205942357569,0.288,0.132,1.42749403017164e-214,"microglia-macrophages","SPRED1"
"CPM",3.68961818145818e-218,0.454703630804658,0.23,0.093,1.00660163226542e-213,"microglia-macrophages","CPM"
