"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"PRKCQ",-1.8845703207614,2.81719686322654,-5.50643954778409,0.000115093582919113,0.047336483678157,-3.85634805406674
"BUD13",-0.757178912402863,3.01550157580918,-4.55500598883433,0.000118090969049331,0.047336483678157,-3.85005569412515
"TBC1D1",1.27320071415052,4.53500955708323,4.80629895100953,0.000119818170874333,0.047336483678157,3.84649787217063
"GAS6-DT",2.79169060599448,0.277862517027954,4.79160099729917,0.000120807699731579,0.047336483678157,3.84448129329036
"GADD45A",1.53919824911924,5.48476109591141,5.10056532374442,0.000127507909566561,0.0487999457613231,3.83122292696387
"SFRP1",-1.89884693993791,5.04078331300158,-6.35217775829593,0.000134705782942133,0.0498313694920261,-3.81769230016659
"KRR1",-1.04967372864938,5.09176148916774,-4.50911166931076,0.000136258833757135,0.0498313694920261,-3.81486240623738
"LPCAT1",1.25241186463335,4.39351167806711,4.52635096967403,0.000150514912921775,0.0536386029703554,3.79021835337387
"FAM13A",1.15880875463801,4.19060423947159,4.62444480735475,0.000153187964975798,0.0536386029703554,3.78584366276686
"OSTF1",-0.884543560534925,5.06200216389355,-4.80770811916605,0.000161074440502197,0.0552250430696802,-3.77334324275338
"COL8A1",3.82926563801576,3.15667027037656,4.46178531121013,0.000172460144928343,0.0579219715323619,3.75627650410415
"RCAN3",-0.890253438848643,3.9557243810999,-4.83429141054754,0.000183900852953895,0.0605291267412451,-3.74016314461999
"CPPED1",-0.993156232299841,4.81528455838442,-4.36696305511567,0.000192229383681158,0.0616083952050412,-3.7290154283123
"FAM45A",-0.709520716273831,5.37962225583689,-5.02150666993872,0.000197888078178384,0.0616083952050412,-3.72169740130266
"PSTK",-0.797304311744462,3.78077430652368,-4.35473627605924,0.000198410703400813,0.0616083952050412,-3.72103147627397
"RAPGEF6",-0.929754797619889,4.41459887055656,-4.78696505230021,0.000210416061802293,0.0631316757189145,-3.70617123919169
"ACTN1",2.48932988379318,5.49520241939479,4.44799159906445,0.000210988768581169,0.0631316757189145,3.70548241510996
"ARMC1",-0.811629874207553,5.44765737348059,-4.70154292046775,0.000216179146829328,0.0635296467744688,-3.69931853071612
"MAN1C1",1.64236826618514,6.01441036332449,4.56136667687955,0.0002246874233515,0.0648034517150242,3.6895088375888
"FAM76A",-0.611489757492765,4.32792931215324,-4.3003524782177,0.000228389147443119,0.0648034517150242,-3.68534934816586
"AL133353.1",-2.59500654094555,-0.547778964287638,-4.2723213841862,0.000245557913639099,0.0683676876847404,-3.66684877719181
"ARHGAP31",1.15648627486083,4.26013302978402,4.38286849004425,0.000249259358393658,0.0683676876847404,3.663019702467
"TMEM181",-0.844222378530527,5.13885027087772,-4.47724536465524,0.000256993893653981,0.0684346566474842,-3.65518768813299
"ANKRD42",1.29278644923677,3.16011699753177,4.59208929953378,0.000257911520780573,0.0684346566474842,3.65427320950466
"ZFYVE1",0.603573446421432,3.93152892759371,4.24727678460021,0.000261978694099259,0.0684346566474842,3.65025637132861
"HPF1",-0.684078522814081,4.91061773391278,-4.24729124946243,0.00026650515137081,0.0685293011892097,-3.64585410615129
"DHRS3",1.3323482182425,5.90725032618105,4.68933504618224,0.000275987893931576,0.0698758887758761,3.63685434026665
"PLCE1",1.83687543888561,4.28219092196176,4.21800625435635,0.000282556421144609,0.0704550154966187,3.63078872208508
"PACSIN2",0.673144729428554,5.39764101579891,4.52913512896025,0.000289984369305112,0.0709151649488631,3.62408666111555
"HK1",1.5809595039313,5.32869460784514,4.84207908860741,0.000293020065414273,0.0709151649488631,3.62139382058579
"N4BP2L1",-0.680083606491884,4.78212725254347,-4.17834081819314,0.000313022888265318,0.0742489020623566,-3.60427715664728
"MRAS",0.967577158814589,5.38942779513443,4.70016115229281,0.000324445659212121,0.0742489020623566,3.59495659917894
"ST5",1.22008571106272,4.76881277339488,4.99497747440301,0.000331809707416883,0.0742489020623566,3.58910930343761
"PRRX1",1.64786906341071,5.37560146710206,5.11672619853242,0.000332026068457383,0.0742489020623566,3.58893934866436
"MTO1",-0.761014500518013,4.23208857483269,-4.15506279969903,0.000332396605081964,0.0742489020623566,-3.58864852727746
"CNGA3",4.70986828653706,1.33165823838157,4.21267358067945,0.00033386514872786,0.0742489020623566,3.58749889390073
"KIAA1671",2.051112825614,4.23995515340993,4.55417988389055,0.000355207248456319,0.0772130902924862,3.57130478691381
"VCPKMT",-1.33933699933044,2.9876589911833,-4.3395085653852,0.000359263412803578,0.0772130902924862,-3.56833031000642
"AIMP2",-1.01628775658165,3.81033433854582,-4.30215933376597,0.000366217391705028,0.0772130902924862,-3.56330311512551
"KLHL32",-1.0427945526834,6.10452466452359,-4.3702905284973,0.000370179281950792,0.0772130902924862,-3.56047874061936
"NT5DC1",-0.997305108239704,5.75847433182921,-4.69706060561924,0.000380171275442065,0.0772130902924862,-3.55347918904125
"IFT80",-1.24159409971593,4.96416101250342,-5.19704460203617,0.000384564384292138,0.0772130902924862,-3.55045601972373
"GBP1",1.93981530721925,4.27661601561493,4.36177634686003,0.000386723482045998,0.0772130902924862,3.54898202234485
"SC5D",-0.74849765635568,6.02320481197463,-4.0955909331608,0.000387456611087812,0.0772130902924862,-3.54848327014283
"FZD7",2.1795639103913,3.67098002250395,4.41143500531782,0.000392828585605472,0.0772130902924862,3.54485535960406
"VMP1",-0.775031965688057,6.12646422013684,-4.32742158073959,0.000394111902811499,0.0772130902924862,-3.54399554637926
"PPP6C",-0.446935392272065,6.21032688759626,-4.07857655191189,0.000404807563974423,0.0773892768845921,-3.53692959376268
"COMMD2",-0.518099563089307,4.75669909226564,-4.07746408710565,0.000405968444669046,0.0773892768845921,-3.53617319560699
"ZNRF1",0.925622898447646,4.10755058902668,4.57375650810818,0.000409118739075136,0.0773892768845921,3.53413068527377
"ANKRD13C",-0.714054215930273,4.5769848303409,-4.06335735042517,0.000420977939851365,0.0778677546073003,-3.52657121067802
"TC2N",4.10799064509186,2.60498699797374,4.07293156358106,0.000423680072334995,0.0778677546073003,3.52487662115597
"TMEM235",-2.23364037585745,5.00670384792917,-5.13888491035027,0.000425842979562315,0.0778677546073003,-3.52352745267679
"MUC1",3.67320679839334,1.81596926565225,4.27326703927844,0.000437232197469348,0.0790717612500336,3.51652699344977
"MAFB",2.65500588272472,5.86360217220582,4.10996638241371,0.000446454825562883,0.0794056343050417,3.51098188210385
"COL8A2",2.26093800876505,4.28885482492446,4.09752423791947,0.000448728443238068,0.0794056343050417,3.5096313027492
"IGFBP5",1.89875079627572,8.22808294488015,4.27648079944883,0.000456879741545301,0.0799879777299045,3.50484118249446
"TMEM171",-4.21216169624684,-0.378595084193345,-5.86843942695928,0.000484670724705897,0.0831321499261973,-3.48908846195139
"DNAJC14",-0.474887677273147,4.16732496787227,-4.00834117951289,0.00048494175079996,0.0831321499261973,-3.48893902723429
"BMPR1A",0.803228481885935,4.94120799879627,4.12926468106186,0.000493397181137803,0.0837096640204621,3.48431567442832
"RANBP1",-0.705859130599373,5.91533719822505,-4.68682203471766,0.000506206864810015,0.0842547008718276,-3.47745031173707
"ANO6",1.58285450279751,5.76219040205377,4.42832506618996,0.000511410858452212,0.0842547008718276,3.47470739724164
"RHOU",-1.18654457865772,7.13502648316694,-4.23666739196582,0.000516714492020599,0.0842547008718276,-3.47193860547412
"CLU",1.46036178622969,11.8351319838254,4.38938064223101,0.000517088460111478,0.0842547008718276,3.47174437446928
"RNF34",-0.557180632782909,5.02413189794961,-3.97126265335924,0.000533374418148033,0.0860563019555116,-3.46341028962818
"MPHOSPH10",-0.587952689650784,4.99080871359907,-4.48378253138798,0.000553034086369633,0.0874464620684255,-3.4536600232341
"CADM3",2.91859436420597,4.70951988649427,4.02191712905538,0.000564574794417488,0.0874464620684255,3.44808573642771
"BRIX1",-0.971804375351673,4.55564103306236,-4.65332726978021,0.000568511341213474,0.0874464620684255,-3.44620859489582
"CEBPD",2.38899408193309,6.57754310328579,4.66218642777269,0.000575499908708259,0.0874464620684255,3.44290571845754
"LY6H",2.54400001453829,5.99354949306537,4.58796934560829,0.000577890313128508,0.0874464620684255,3.44178455372075
"USP30",-1.05604571000719,4.45079544987602,-4.21786378391257,0.000579400392693205,0.0874464620684255,-3.44107850873069
"FBXO17",1.61063136675158,3.07452420949104,4.10436401372546,0.000585238320729577,0.0874464620684255,3.43836497558971
"SLC9A5",3.43050029983569,0.459621907862424,4.04014218234917,0.000585640116906965,0.0874464620684255,3.43817914445636
"SFR1",-1.11728389995632,4.06152618642552,-4.42649272229139,0.000589813288545618,0.0874464620684255,-3.43625603551045
"OSMR",1.9379637949594,4.1240180262801,4.05936222432305,0.00061365763541239,0.090169318803408,3.42550500159407
"TMEM168",-0.619930937900162,4.53420121355983,-3.9039232317701,0.000633844706014588,0.0923113480255051,-3.41670264454728
"NOTCH2",1.33291846274169,5.92223224750544,4.82724607917177,0.000657536855178563,0.0941717716058128,3.40669863400313
"ST8SIA1",1.68688506587526,4.43060160589631,4.18893320274502,0.000669992737983058,0.0941717716058128,3.40157282919871
"LRRC75B",1.24568461736871,2.85114268166811,4.09729087707437,0.000676142411315107,0.0941717716058128,3.39907472235876
"TMEM41B",-0.694727267325022,5.56150558677473,-4.39472471360434,0.000681461919687019,0.0941717716058128,-3.39693082286753
"UGCG",1.02067539898634,5.15544818553909,4.02888535198095,0.000687261434457736,0.0941717716058128,3.39461112206019
"CPT1A",1.32011183421729,4.55628463066577,4.50862070922281,0.000689638999617567,0.0941717716058128,3.39366539392927
"S100A10",2.99370140892909,8.35988230200639,4.34763274431841,0.000690914651675985,0.0941717716058128,3.39315922409383
"SOD2_ENSG00000112096",1.93791809587246,7.44503524876118,4.52927944311649,0.00069239742141966,0.0941717716058128,3.39257196186053
"AHNAK2",2.68081703119814,3.63499143421036,4.22546468916544,0.000699290060192397,0.0942761903867761,3.38985733301305
"PIGW",-1.24117548077737,1.60906099512639,-3.86131533423685,0.000706822952473296,0.0942761903867761,-3.38691883586294
"ACSM5",1.77178043945784,3.6232764907592,4.2514748836809,0.000714103713271747,0.0942761903867761,3.38410621842306
"FAM213B",1.31866225871571,4.684780646246,4.18778445981369,0.000716079710660936,0.0942761903867761,3.38334747167154
"F2RL1",3.22438505502894,1.40927395418895,4.02958006355041,0.000723940361499217,0.0945546549935922,3.38034826123958
"ZDHHC9",-1.30142469937314,6.3736079699252,-4.25810766602132,0.000734726468597548,0.0949986628257857,-3.3762817155853
"SLC45A4",1.85611033795264,2.11804830466464,4.1285885437655,0.000738884902576446,0.0949986628257857,3.37472871129285
"XRCC5",-0.342842082621533,6.82873691968441,-4.5903726076607,0.000754681808358204,0.096277507908147,-3.36890227610723
"HIRIP3",-0.455682729645683,5.09165479417965,-4.00813624593885,0.000768729664993709,0.0971079647379349,-3.36381531543074
