"","logFC","AveExpr","t","P.Value","adj.P.Val","z.std"
"FBXO17",2.04170815786819,3.07452420949104,5.34027084953605,2.96729011226188e-05,0.0159812009536624,4.1759622638808
"AL049839.2",3.93575147092264,3.69396140362327,5.3435140205245,3.0103738808017e-05,0.0159812009536624,4.17268016329872
"NKD1",-1.29915254098453,3.64446053114521,-5.06285225625249,3.17763351069087e-05,0.0162347208214801,-4.16034777710868
"DNAJC18",-0.774276565967452,4.86675560710587,-5.47158652882677,3.25542800698089e-05,0.0162347208214801,-4.15482064496625
"SC5D",-0.906328227564934,6.02320481197463,-4.99254961304928,3.79965128277013e-05,0.0179973177798204,-4.11933637486507
"BCO2",-2.26198790167998,2.63394252459076,-5.00101571670011,3.82758778813705e-05,0.0179973177798204,-4.11764796506645
"FRY",1.29644768022025,4.65573367089406,4.95844033542087,4.15564086143234e-05,0.0189970504601644,4.09865155882113
"ARHGEF6",1.12870272186837,5.95275714717534,4.94391340706252,4.30936794333326e-05,0.0191673697955231,4.09023475160797
"QPRT",2.05082529780929,4.11861305565888,5.80219274042488,4.49818209311099e-05,0.0194806796595599,4.08027826118247
"EMP1",2.8075035110765,5.95658557454407,4.95604565395519,4.79601805672858e-05,0.0202379664511749,4.06535122584881
"CLEC9A",-4.13220269365928,0.574921746368156,-5.04677894468736,5.05373052095873e-05,0.0207923107958544,-4.05312812831449
"DHRS3",1.48102034318545,5.90725032618105,5.30335326886684,6.14343452513875e-05,0.0230793019578785,4.00723263365562
"CCND2",1.97256070349752,6.53659815104584,5.16186358022543,6.25666713031844e-05,0.0230793019578785,4.00291543225704
"TMEM255A",1.86194813639416,5.08971319878856,5.05543748262796,6.34904349667124e-05,0.0230793019578785,3.9994478527348
"ABCC6",2.55575138063441,0.819769529892092,5.02731212413854,6.4603506097916e-05,0.0230793019578785,3.99533254879895
"MGST1",2.41913831103804,7.70340649537086,5.53021876834071,6.92139894563024e-05,0.0230793019578785,3.97897166122172
"CASP9",-0.945548964766118,3.66419874000174,-5.20635813109139,6.94106651618097e-05,0.0230793019578785,-3.97829690101991
"IQCJ-SCHIP1",-2.14814745210215,2.09512498061057,-4.79496304622204,7.02086621007859e-05,0.0230793019578785,-3.97557754301441
"RNF34",-0.671061839014229,5.02413189794961,-4.74144663581172,7.28210808589517e-05,0.0230793019578785,-3.96687525875365
"TBC1D1",1.32458885763886,4.53500955708323,4.92673541741189,7.37911397533222e-05,0.0230793019578785,3.96371889102241
"TNFRSF11B",2.82804277754778,2.54009889425303,4.91744970076469,7.43833544047774e-05,0.0230793019578785,3.9618111857421
"SNRNP40",-0.887606469543415,4.42658903360425,-4.73288597017091,7.4455507233764e-05,0.0230793019578785,-3.96157974172702
"AXL",1.31766275521662,5.62149395326004,4.73186880969074,7.46521318995384e-05,0.0230793019578785,3.9609501054026
